Rank,Name,Frequency,Year
1,John,698,1946
2,John,635,1949
3,John,633,1947
4,John,597,1945
5,John,596,1944
6,John,586,1942
7,John,579,1951
8,John,578,1948
9,John,578,1954
10,John,540,1950
11,John,537,1953
12,John,536,1943
13,John,526,1952
14,John,517,1962
15,John,511,1940
16,John,509,1959
17,John,501,1925
18,John,499,1955
19,John,493,1930
20,John,490,1921
21,John,484,1957
22,John,483,1936
23,John,483,1938
24,David,478,1955
25,John,478,1941
26,John,478,1956
27,John,478,1958
28,David,471,1962
29,John,471,1964
30,John,470,1961
31,John,467,1963
32,David,461,1956
33,David,459,1947
34,John,456,1922
35,John,454,1960
36,John,451,1920
37,John,450,1939
38,David,447,1948
39,John,443,1935
40,John,438,1931
41,John,435,1924
42,John,435,1937
43,David,430,1957
44,John,428,1934
45,David,423,1961
46,David,419,1958
47,David,418,1949
48,James,416,1947
49,John,414,1929
50,John,412,1927
51,John,412,1932
52,John,412,1965
53,Michael,409,1962
54,David,407,1952
55,David,406,1960
56,John,406,1933
57,David,402,1959
58,John,402,1926
59,David,401,1963
60,David,399,1953
61,John,392,1928
62,Michael,390,1963
63,Robert,389,1954
64,David,388,1954
65,Robert,388,1947
66,Robert,387,1957
67,Robert,383,1964
68,David,382,1951
69,James,382,1952
70,Michael,381,1956
71,James,377,1948
72,Robert,377,1961
73,John,376,1966
74,David,375,1946
75,John,375,1923
76,Michael,375,1964
77,Robert,375,1945
78,James,374,1942
79,Robert,372,1955
80,James,371,1949
81,James,370,1943
82,James,370,1946
83,Robert,367,1952
84,Robert,366,1948
85,David,364,1950
86,James,364,1955
87,James,364,1956
88,Michael,363,1961
89,Robert,360,1950
90,William,360,1947
91,Michael,359,1954
92,Robert,359,1962
93,Robert,358,1956
94,James,357,1959
95,Robert,357,1958
96,Joseph,355,1921
97,Robert,355,1960
98,James,354,1950
99,Michael,354,1959
100,Robert,354,1946
101,Robert,354,1953
102,Jason,352,1975
103,Michael,352,1960
104,James,351,1945
105,Michael,349,1958
106,James,348,1944
107,Robert,345,1963
108,Robert,344,1949
109,Robert,343,1944
110,Michael,339,1965
111,Michael,338,1957
112,James,337,1951
113,David,336,1964
114,Robert,336,1943
115,Jason,332,1973
116,Robert,332,1965
117,Robert,330,1951
118,Joseph,328,1944
119,Matthew,328,1983
120,Jason,327,1974
121,James,326,1962
122,Michael,324,1966
123,James,322,1964
124,William,321,1948
125,Joseph,320,1922
126,James,317,1957
127,James,317,1960
128,Michael,317,1955
129,David,316,1944
130,William,316,1942
131,James,315,1961
132,James,314,1953
133,William,314,1944
134,William,313,1946
135,John,312,1968
136,Michael,312,1953
137,Michael,311,1968
138,James,310,1954
139,Matthew,310,1984
140,Joseph,307,1945
141,Joseph,306,1924
142,Joseph,306,1943
143,William,306,1943
144,John,305,1970
145,Joseph,305,1931
146,Joseph,305,1932
147,William,305,1956
148,Joseph,304,1949
149,Robert,304,1942
150,David,303,1966
151,Joseph,303,1920
152,Joseph,303,1923
153,Joseph,301,1926
154,Robert,301,1966
155,James,300,1940
156,Joseph,300,1942
157,Robert,299,1959
158,William,298,1954
159,William,297,1945
160,James,296,1958
161,William,296,1941
162,Joseph,295,1933
163,James,293,1935
164,John,293,1967
165,Joseph,293,1937
166,James,292,1938
167,James,292,1963
168,James,291,1934
169,William,291,1951
170,William,290,1955
171,David,289,1969
172,James,289,1941
173,Joseph,289,1948
174,Joseph,288,1946
175,David,287,1945
176,David,287,1967
177,Joseph,287,1934
178,Matthew,287,1982
179,Donald,286,1943
180,Michael,285,1969
181,Michael,285,1970
182,William,285,1949
183,James,284,1936
184,Joseph,284,1929
185,Matthew,283,1985
186,David,281,1965
187,James,281,1937
188,Robert,281,1967
189,William,281,1932
190,James,280,1939
191,James,279,1922
192,Joseph,279,1947
193,William,279,1921
194,Joseph,278,1935
195,William,277,1931
196,Joseph,276,1936
197,William,276,1925
198,Joseph,274,1940
199,William,274,1953
200,David,273,1971
201,Joseph,273,1928
202,Christopher,272,1982
203,John,272,1969
204,Robert,272,1937
205,Joseph,271,1941
206,Paul,271,1963
207,David,270,1970
208,Jason,270,1976
209,Joseph,270,1927
210,James,269,1920
211,James,269,1965
212,Michael,269,1952
213,William,269,1920
214,William,269,1950
215,Donald,268,1947
216,James,268,1932
217,Joseph,268,1955
218,Robert,267,1968
219,Joseph,266,1925
220,Joseph,266,1951
221,Joseph,265,1956
222,Michael,265,1972
223,Michael,265,1976
224,William,265,1940
225,David,264,1943
226,Joseph,264,1950
227,Robert,264,1938
228,Michael,263,1967
229,Robert,263,1941
230,Michael,262,1980
231,William,262,1952
232,Christopher,261,1976
233,Donald,261,1942
234,Joseph,261,1939
235,Kevin,261,1961
236,William,261,1937
237,William,260,1934
238,William,259,1922
239,Kevin,258,1962
240,Michael,258,1973
241,William,258,1957
242,Donald,257,1946
243,Joseph,257,1953
244,James,256,1971
245,John,256,1971
246,Joseph,255,1952
247,Michael,255,1975
248,Robert,255,1940
249,David,254,1968
250,Michael,254,1979
251,William,254,1929
252,James,253,1930
253,Robert,253,1936
254,Joseph,252,1938
255,James,251,1967
256,Joseph,251,1957
257,Robert,251,1939
258,William,251,1958
259,Donald,250,1951
260,Joseph,250,1958
261,Matthew,250,1981
262,Michael,250,1971
263,William,250,1936
264,William,248,1933
265,George,247,1920
266,James,247,1924
267,Michael,247,1977
268,Joseph,246,1954
269,Matthew,246,1986
270,Matthew,246,1987
271,Michael,246,1974
272,Stephen,246,1962
273,William,246,1924
274,Donald,245,1948
275,James,245,1926
276,Michael,245,1982
277,Stephen,245,1963
278,William,245,1930
279,William,245,1938
280,James,244,1921
281,Matthew,244,1988
282,Stephen,244,1958
283,William,244,1961
284,Christopher,243,1977
285,James,243,1966
286,Joseph,243,1930
287,Jason,242,1977
288,Matthew,242,1990
289,Robert,242,1969
290,Christopher,241,1983
291,Michael,241,1951
292,William,241,1935
293,James,240,1929
294,Jason,240,1978
295,Paul,240,1964
296,James,239,1928
297,Donald,238,1957
298,William,238,1959
299,Donald,237,1945
300,William,237,1926
301,William,237,1928
302,Paul,236,1962
303,Christopher,235,1986
304,James,234,1927
305,James,234,1931
306,Joseph,234,1962
307,Michael,234,1978
308,William,234,1939
309,David,233,1941
310,Donald,233,1932
311,Donald,233,1950
312,James,233,1933
313,William,233,1927
314,Donald,232,1944
315,James,232,1923
316,Donald,231,1956
317,Paul,231,1961
318,David,230,1974
319,Jason,230,1972
320,Michael,230,1985
321,Robert,230,1970
322,Donald,229,1935
323,Paul,229,1960
324,Donald,228,1931
325,Kevin,228,1963
326,Paul,228,1965
327,Christopher,227,1979
328,David,227,1942
329,Donald,227,1949
330,John,227,1972
331,Stephen,227,1961
332,Christopher,226,1975
333,Donald,226,1955
334,Joseph,226,1960
335,Michael,226,1986
336,Stephen,225,1959
337,Christopher,224,1984
338,Donald,224,1936
339,Michael,224,1984
340,William,224,1960
341,David,223,1976
342,James,223,1925
343,Kevin,223,1959
344,Robert,223,1971
345,Donald,221,1937
346,Donald,221,1954
347,Kevin,221,1964
348,Donald,219,1953
349,Joseph,219,1959
350,Kevin,219,1960
351,Michael,219,1981
352,James,216,1970
353,John,216,1975
354,Stephen,216,1960
355,William,216,1963
356,Donald,215,1941
357,John,215,1974
358,William,215,1962
359,Christopher,214,1973
360,Michael,214,1983
361,William,214,1923
362,Matthew,213,1989
363,Stephen,213,1957
364,Robert,212,1934
365,David,211,1972
366,George,211,1923
367,Michael,211,1950
368,Ryan,211,1982
369,Christopher,210,1981
370,Matthew,210,1992
371,Robert,210,1935
372,George,209,1921
373,George,209,1925
374,James,209,1975
375,Paul,209,1959
376,Donald,208,1930
377,Donald,208,1933
378,Donald,208,1940
379,Jason,208,1979
380,Jason,208,1980
381,Michael,208,1987
382,Paul,208,1958
383,Brandon,207,1993
384,Christopher,207,1980
385,David,207,1975
386,Ronald,207,1947
387,Christopher,204,1972
388,Donald,204,1928
389,Donald,204,1934
390,Donald,204,1938
391,George,204,1937
392,Brian,203,1956
393,Donald,203,1925
394,Donald,203,1958
395,George,203,1942
396,Paul,203,1956
397,Robert,203,1972
398,Donald,202,1926
399,George,202,1941
400,Kevin,202,1958
401,Christopher,201,1974
402,Brian,200,1950
403,Brian,200,1958
404,Christopher,200,1985
405,Joseph,200,1964
406,Donald,199,1959
407,Joseph,199,1961
408,Richard,199,1956
409,Robert,198,1928
410,Stephen,198,1964
411,David,197,1940
412,Gary,197,1946
413,Kevin,197,1957
414,Gary,196,1945
415,George,196,1924
416,George,196,1928
417,James,196,1968
418,Joseph,196,1963
419,Donald,195,1924
420,James,195,1969
421,Paul,195,1957
422,Robert,195,1933
423,Brandon,194,1995
424,Gary,194,1952
425,James,194,1974
426,Brian,193,1954
427,George,193,1935
428,Wayne,193,1946
429,Donald,192,1952
430,James,192,1976
431,Robert,192,1931
432,Christopher,191,1971
433,Darren,191,1965
434,Donald,191,1922
435,George,191,1926
436,George,191,1931
437,James,191,1978
438,John,191,1973
439,Richard,191,1960
440,Ryan,191,1981
441,Brandon,190,1994
442,Donald,190,1939
443,Joseph,190,1965
444,Kevin,190,1965
445,Michael,190,1948
446,Michael,190,1949
447,Michael,190,1989
448,Christopher,189,1978
449,Gary,189,1947
450,George,189,1927
451,George,189,1939
452,John,189,1976
453,Richard,189,1958
454,Robert,189,1973
455,Ronald,189,1945
456,Ryan,189,1983
457,Brian,188,1953
458,Donald,187,1960
459,George,187,1922
460,George,187,1929
461,David,186,1978
462,George,186,1936
463,Matthew,186,1980
464,Ronald,186,1948
465,Donald,185,1923
466,Matthew,185,1991
467,James,184,1972
468,Paul,184,1966
469,Brian,183,1959
470,George,183,1944
471,Ronald,183,1946
472,Wayne,183,1947
473,Kyle,182,1990
474,Michael,182,1988
475,Paul,182,1955
476,Robert,182,1932
477,George,181,1932
478,William,181,1964
479,George,180,1948
480,James,180,1973
481,Kevin,180,1956
482,Ryan,180,1984
483,Brian,179,1952
484,Brian,179,1957
485,George,179,1947
486,Robert,179,1974
487,Stephen,179,1965
488,Donald,178,1929
489,Gary,178,1950
490,John,178,1978
491,Stephen,178,1956
492,Charles,177,1949
493,Christopher,177,1987
494,Christopher,177,1989
495,David,177,1939
496,David,177,1973
497,David,177,1979
498,Gary,177,1951
499,Gary,177,1953
500,Peter,177,1961
501,Brian,176,1951
502,Gary,176,1955
503,Richard,176,1946
504,Daniel,175,1957
505,George,175,1930
506,George,175,1943
507,James,175,1979
508,Richard,175,1947
509,Richard,175,1957
510,Richard,175,1959
511,Robert,175,1975
512,Donald,174,1963
513,John,174,1977
514,Charles,173,1921
515,James,173,1977
516,Brian,172,1955
517,Brian,172,1960
518,Gary,172,1956
519,Ryan,172,1986
520,Donald,171,1927
521,George,171,1933
522,John,171,1979
523,Peter,171,1963
524,Ryan,171,1993
525,Andrew,170,1986
526,Richard,170,1953
527,Charles,169,1922
528,Charles,169,1938
529,George,169,1940
530,Joseph,169,1966
531,Ryan,169,1988
532,Ryan,169,1992
533,David,168,1977
534,George,168,1938
535,Justin,168,1988
536,Kevin,168,1966
537,Matthew,168,1979
538,Matthew,168,1994
539,Richard,168,1961
540,Adam,167,1981
541,Donald,167,1961
542,Robert,167,1977
543,Ronald,167,1949
544,Thomas,167,1956
545,Donald,166,1962
546,Paul,166,1954
547,Donald,165,1921
548,Michael,165,1990
549,Ryan,165,1985
550,Andrew,164,1983
551,Brian,164,1947
552,Christopher,164,1988
553,Daniel,164,1962
554,Gary,164,1954
555,George,164,1946
556,Robert,164,1978
557,Timothy,164,1960
558,Charles,163,1936
559,Charles,163,1947
560,Paul,163,1968
561,Robert,163,1976
562,Andrew,162,1987
563,David,162,1983
564,Gary,162,1948
565,Kevin,162,1967
566,Matthew,162,1993
567,Paul,162,1953
568,Ronald,162,1934
569,Timothy,162,1961
570,Brian,161,1961
571,Charles,161,1944
572,George,161,1949
573,Richard,161,1952
574,Richard,161,1964
575,Robert,161,1925
576,Robert,161,1930
577,Ronald,161,1944
578,Ronald,161,1958
579,Brandon,160,1996
580,Charles,160,1924
581,Charles,160,1931
582,Charles,159,1927
583,Andrew,158,1985
584,Christopher,158,1970
585,Daniel,158,1959
586,George,158,1950
587,Kenneth,158,1956
588,Peter,158,1962
589,Robert,158,1926
590,Donald,156,1964
591,George,156,1934
592,George,156,1945
593,Paul,156,1969
594,Richard,156,1955
595,Robert,156,1921
596,Stephen,156,1955
597,Adam,155,1984
598,Christopher,155,1968
599,Stephen,155,1953
600,Charles,154,1923
601,Daniel,154,1961
602,Jason,154,1981
603,John,154,1983
604,Kevin,154,1955
605,Kyle,154,1988
606,Ronald,154,1942
607,Andrew,153,1988
608,Brian,153,1963
609,Christopher,153,1967
610,Christopher,153,1990
611,Daniel,153,1985
612,David,153,1982
613,James,153,1981
614,Robert,153,1929
615,Ronald,153,1959
616,William,153,1965
617,Kenneth,152,1947
618,Kenneth,152,1958
619,Kyle,152,1991
620,Peter,152,1959
621,Robert,152,1922
622,Ronald,152,1941
623,Thomas,152,1952
624,Charles,151,1932
625,Charles,151,1941
626,David,151,1980
627,John,151,1982
628,Kenneth,151,1944
629,Kenneth,151,1949
630,Kenneth,151,1959
631,Ronald,151,1943
632,Charles,150,1920
633,Charles,150,1929
634,Gerald,150,1946
635,Kenneth,150,1954
636,Kyle,150,1989
637,Wayne,150,1944
638,Adam,149,1982
639,Brian,149,1964
640,Charles,149,1935
641,Paul,149,1967
642,Peter,149,1958
643,Peter,149,1960
644,Richard,149,1950
645,Ronald,149,1953
646,Stephen,149,1968
647,Charles,148,1933
648,Charles,148,1946
649,James,148,1982
650,Mark,148,1965
651,Mark,148,1971
652,Wayne,148,1948
653,Charles,147,1934
654,Mark,147,1963
655,Peter,147,1960
656,Robert,147,1927
657,Stephen,147,1966
658,Andrew,146,1984
659,Andrew,146,1989
660,Brian,146,1949
661,John,146,1980
662,Justin,146,1990
663,Paul,146,1952
664,Ronald,146,1952
665,Ronald,146,1963
666,David,145,1981
667,David,145,1984
668,Kyle,145,1987
669,Michael,145,1991
670,Paul,145,1950
671,Ronald,145,1936
672,Scott,145,1970
673,Stephen,145,1954
674,Wayne,145,1945
675,Daniel,144,1958
676,David,144,1938
677,John,144,1981
678,Kenneth,144,1963
679,Mark,144,1970
680,Michael,144,1992
681,Ronald,144,1950
682,Ronald,144,1956
683,Charles,143,1939
684,Christopher,143,1991
685,Paul,143,1970
686,Richard,143,1963
687,Robert,143,1980
688,Ronald,143,1955
689,Ronald,143,1957
690,Ryan,143,1987
691,Ryan,143,1990
692,William,143,1968
693,William,143,1970
694,Gary,142,1949
695,Kenneth,142,1946
696,Kenneth,142,1957
697,Richard,142,1954
698,Robert,142,1920
699,Ryan,142,1991
700,Scott,142,1971
701,William,142,1966
702,Andrew,141,1979
703,Brian,141,1962
704,Gregory,141,1961
705,James,141,1983
706,Jason,141,1982
707,Kenneth,141,1952
708,Mark,141,1976
709,Michael,141,1947
710,Richard,141,1962
711,Robert,141,1924
712,Ronald,141,1935
713,Ryan,141,1989
714,Charles,140,1943
715,Kenneth,140,1955
716,Mark,140,1972
717,Mark,140,1978
718,Thomas,140,1955
719,William,140,1967
720,Charles,139,1942
721,Charles,139,1945
722,George,139,1954
723,Justin,139,1987
724,Mark,139,1969
725,Mark,139,1974
726,Ronald,139,1954
727,Charles,138,1925
728,Charles,138,1926
729,Charles,138,1928
730,Charles,138,1940
731,Donald,138,1920
732,Gary,138,1957
733,Kenneth,138,1948
734,Kevin,138,1968
735,Kevin,138,1970
736,Mark,138,1968
737,George,137,1952
738,George,137,1953
739,James,137,1980
740,James,137,1984
741,Joseph,137,1967
742,Matthew,137,1996
743,Peter,137,1957
744,Adam,136,1980
745,Adam,136,1983
746,Adam,136,1985
747,Charles,136,1937
748,Gerald,136,1932
749,John,136,1985
750,Kevin,136,1954
751,Peter,136,1964
752,Ronald,136,1938
753,Brandon,135,1992
754,Brandon,135,1997
755,Charles,135,1954
756,Daniel,135,1953
757,Gerald,135,1950
758,Justin,135,1989
759,Richard,135,1949
760,Christopher,134,1969
761,Jason,134,1983
762,Kenneth,134,1961
763,Kevin,134,1973
764,Matthew,134,1978
765,Peter,134,1955
766,Thomas,134,1953
767,Charles,133,1948
768,Christopher,133,1961
769,George,133,1951
770,Kenneth,133,1943
771,Mark,133,1961
772,Mark,133,1964
773,Robert,133,1981
774,Daniel,132,1986
775,Donald,132,1966
776,Kenneth,132,1964
777,Mark,132,1962
778,Mark,132,1973
779,Paul,132,1971
780,Peter,132,1967
781,Richard,132,1951
782,Robert,132,1923
783,Thomas,132,1951
784,William,132,1972
785,Jason,131,1985
786,Joshua,131,1991
787,Kenneth,131,1951
788,Nicholas,131,1989
789,Robert,131,1983
790,Timothy,131,1959
791,Andrew,130,1990
792,Charles,130,1951
793,James,130,1985
794,John,130,1986
795,Kenneth,130,1945
796,Kevin,130,1969
797,Kevin,130,1971
798,Mark,130,1975
799,Matthew,130,1977
800,Wayne,130,1949
801,Daniel,129,1963
802,David,129,1986
803,George,129,1955
804,Kenneth,129,1950
805,Kenneth,129,1960
806,Kyle,129,1986
807,Peter,129,1956
808,Richard,129,1965
809,Thomas,129,1948
810,Thomas,129,1957
811,Charles,128,1953
812,Charles,128,1956
813,Kenneth,128,1962
814,Paul,128,1951
815,Thomas,128,1949
816,Brian,127,1967
817,Daniel,127,1984
818,George,127,1956
819,Kyle,127,1992
820,Ronald,127,1933
821,Ronald,127,1964
822,Scott,127,1969
823,Stephen,127,1967
824,Thomas,127,1945
825,Adam,126,1979
826,Christopher,126,1992
827,Jason,126,1971
828,Jonathan,126,1982
829,Justin,126,1991
830,Kenneth,126,1942
831,Mark,126,1979
832,Stephen,126,1951
833,Stephen,126,1969
834,Timothy,126,1962
835,Andrew,125,1982
836,Charles,125,1930
837,Daniel,125,1989
838,Donald,125,1965
839,Justin,125,1985
840,Kenneth,125,1953
841,Ronald,125,1951
842,Scott,125,1968
843,Scott,125,1972
844,Timothy,125,1963
845,Timothy,125,1964
846,Charles,124,1950
847,Charles,124,1952
848,John,124,1984
849,Joshua,124,1990
850,Michael,124,1993
851,Paul,124,1947
852,Peter,124,1965
853,Brian,123,1948
854,Brian,123,1966
855,Gary,123,1944
856,Gerald,123,1931
857,Harold,123,1926
858,Jonathan,123,1981
859,Jordan,123,1991
860,Richard,123,1944
861,Robert,123,1985
862,Tyler,123,1995
863,David,122,1985
864,Gerald,122,1943
865,James,122,1987
866,Jordan,122,1990
867,Matthew,122,1995
868,Matthew,122,1998
869,Nicholas,122,1996
870,Robert,122,1984
871,Ronald,122,1960
872,Stephen,122,1970
873,Wayne,122,1943
874,Adam,121,1987
875,Andrew,121,1981
876,Daniel,121,1988
877,Gary,121,1958
878,Harold,121,1920
879,Michael,121,1945
880,Nicholas,121,1979
881,Timothy,121,1966
882,Douglas,120,1954
883,Gerald,120,1937
884,Gerald,120,1942
885,Jonathan,120,1983
886,Paul,120,1949
887,Richard,120,1945
888,Scott,120,1974
889,Thomas,120,1941
890,Andrew,119,1991
891,Gerald,119,1930
892,James,119,1990
893,Joseph,119,1970
894,Michael,119,1946
895,Peter,119,1954
896,Richard,119,1948
897,Thomas,119,1950
898,Wayne,119,1954
899,William,119,1971
900,Andrew,118,1977
901,Christopher,118,1963
902,Christopher,118,1993
903,Daniel,118,1964
904,David,118,1937
905,David,118,1989
906,Douglas,118,1946
907,Gerald,118,1947
908,Gregory,118,1963
909,Jason,118,1984
910,Kyle,118,1994
911,Robert,118,1979
912,Ronald,118,1962
913,Ryan,118,1994
914,Wayne,118,1955
915,Gerald,117,1948
916,Gregory,117,1957
917,Joshua,117,1985
918,Justin,117,1986
919,Andrew,116,1978
920,Christopher,116,1966
921,David,116,1987
922,Gerald,116,1949
923,Justin,116,1992
924,Paul,116,1946
925,Richard,116,1966
926,Tyler,116,1993
927,Christopher,115,1965
928,Douglas,115,1953
929,Gerald,115,1945
930,Harold,115,1923
931,James,115,1986
932,Joseph,115,1978
933,Joseph,115,1980
934,Mark,115,1983
935,Matthew,115,1997
936,Paul,115,1945
937,Ronald,115,1937
938,Scott,115,1975
939,Thomas,115,1944
940,Thomas,115,1958
941,Tyler,115,1992
942,William,115,1969
943,Christopher,114,1960
944,Douglas,114,1949
945,Gerald,114,1944
946,Jonathan,114,1985
947,Kyle,114,1993
948,Matthew,114,1999
949,William,114,1973
950,Arthur,113,1922
951,Daniel,113,1952
952,Gerald,113,1938
953,Gerald,113,1940
954,Joseph,113,1985
955,Mark,113,1966
956,Nicholas,113,1999
957,Ronald,113,1932
958,Timothy,113,1965
959,Arthur,112,1921
960,Daniel,112,1965
961,Daniel,112,1979
962,Douglas,112,1959
963,Gordon,112,1942
964,John,112,1989
965,Justin,112,1984
966,Nicholas,112,1982
967,Thomas,112,1960
968,Wayne,112,1942
969,Alexander,111,1992
970,Arthur,111,1920
971,James,111,1988
972,James,111,1989
973,Justin,111,1993
974,Kenneth,111,1965
975,Kevin,111,1975
976,Robert,111,1982
977,Scott,111,1973
978,Thomas,111,1947
979,Timothy,111,1967
980,Wayne,111,1951
981,Andrew,110,1976
982,Brian,110,1965
983,David,110,1936
984,Joseph,110,1979
985,Nicholas,110,1988
986,Peter,110,1952
987,Ronald,110,1930
988,Ryan,110,1995
989,Alexander,109,1994
990,Daniel,109,1968
991,Darren,109,1968
992,Harold,109,1921
993,Jonathan,109,1980
994,Jonathan,109,1986
995,Joshua,109,1988
996,Kenneth,109,1938
997,Nicholas,109,1995
998,Paul,109,1948
999,Richard,109,1968
1000,Wayne,109,1952
1001,Charles,108,1959
1002,Daniel,108,1991
1003,Douglas,108,1948
1004,Gerald,108,1927
1005,Peter,108,1950
1006,Ryan,108,1996
1007,Stephen,108,1950
1008,Thomas,108,1942
1009,Gerald,107,1936
1010,Gregory,107,1962
1011,Harold,107,1922
1012,Harold,107,1924
1013,Jonathan,107,1984
1014,Joshua,107,1984
1015,Kevin,107,1974
1016,Nicholas,107,1993
1017,Ryan,107,1980
1018,Timothy,107,1968
1019,Wayne,107,1958
1020,Brian,106,1968
1021,Daniel,106,1987
1022,Ethan,106,2002
1023,Gerald,106,1929
1024,Kenneth,106,1937
1025,Paul,106,1973
1026,Adam,105,1986
1027,Alexander,105,1993
1028,Andrew,105,1980
1029,Douglas,105,1942
1030,Douglas,105,1943
1031,Douglas,105,1947
1032,Gerald,105,1924
1033,Joseph,105,1969
1034,Joshua,105,1992
1035,Justin,105,1994
1036,Kyle,105,1985
1037,Mark,105,1980
1038,Michael,105,1944
1039,Nicholas,105,1986
